SEQUENCE,ENCODING
2021,2228229
eu,2228229
propose,2228229
climate,2228229
neutrality,2228229
goal,2228229
zero,2228229
emission,2228229
2050,2228229
legally,2228229
bind,2228229
eu,2228229
whole,2228229
package,2228229
economic,2228229
policy,2228229
interim,2228229
target,2228229
emission,2228229
reduction,2228229
2030,2228229
goal,2228229
zero,2228229
emission,2228229
enshrine,2228229
climate,2228229
european,2228229
green,2228229
deal,2228229
roadmap,2228229
eu,2228229
become,2228229
climateneutral,2228229
2050,2228229
climate,2228230
neutrality,2228230
versu,2228230
carbon,2228230
neutrality,2228230
climate,2228231
neutrality,2228231
mean,2228231
only,2228231
emit,2228231
much,2228231
greenhouse,2228231
into,2228231
atmosphere,2228231
absorb,2228231
nature,2228231
forest,2228231
ocean,2228231
soil,2228231
netzero,2228231
emission,2228231
balance,2228231
carbon,2228232
neutrality,2228232
climate,2228232
neutrality,2228232
calculate,2228234
carbon,2228234
footprint,2228234
climate,2228229
neutrality,2228229
greenhouse,2228244
gase,2228244
just,2228244
carbon,2228244
dioxide,2228244
eu,2228256
politic,2228256
climate,2228256
neutrality,2228256
market,2228261
regulate,2228261
european,2228261
union,2228261
price,2228261
carbon,2228261
socially,2228262
balance,2228262
fair,2228262
european,2228267
climate,2228267
eu,2228270
strategy,2228270
adaptation,2228270
climate,2228270
change,2228270
climateresilient,2228270
society,2228270
package,2228271
package,2228271
finance,2228283
eu,2228283
climate,2228283
transition,2228283
public,2228284
private,2228284
investment,2228284
just,2228286
transition,2228286
mechanism,2228286
shape,2228289
global,2228289
action,2228289
pari,2228290
agreement,2228290
provider,2228291
climate,2228291
finance,2228291
greenhouse,2228295
emission,2228295
raise,2228295
ambition,2228295
energy,2228294
efficiency,2228294
renewable,2228294
energy,2228294
market,2228303
consumer,2228303
energy,2228305
strategy,2228305
coal,2228307
infrastructure,2228309
energy,2228311
security,2228311
research,2228313
technology,2228313
fund,2228315
finance,2228315
international,2228317
cooperation,2228317
nuclear,2228319
energy,2228319
energy,2228321
system,2228321
integration,2228321
main,2228323
egal,2228261
nstrument,2228323
2030,2228323
ramework,2228269
plan,2228271
report,2228324
monitor,2228324
public,2228333
participation,2228333
climate,2228335
component,2228335
2030,2228335
framework,2228335
energy,2228337
component,2228337
2030,2228337
framework,2228337
neutrality,2228229
technology,2228346
renewable,2228346
energy,2228346
production,2228346
technology,2228373
enhance,2228373
carbon,2228373
sink,2228373
global,2228373
ecosystem,2228343
technology,2228342
capture,2228382
utilization,2228382
storage,2228382
deliberate,2228393
largescale,2228393
intervention,2228393
earth,2228393
natural,2228393
system,2228393
counteract,2228393
climate,2228393
change,2228393
sustainable,2359299
energy,2359299
there,2359301
major,2359301
objective,2359301
increase,2359301
energy,2359301
efficiency,2359301
replace,2359301
fossil,2359301
fuel,2359301
generate,2359301
energy,2359301
green,2359301
sustainable,2359301
source,2359301
energy,2359301
green,2359308
sustainable,2359308
energy,2359308
definition,2359308
electricity,2359309
generate,2359309
from,2359309
renewable,2359309
energy,2359309
source,2359309
from,2359309
fossil,2359309
fuel,2359309
from,2359309
nuclear,2359309
power,2359309
sustainable,2359299
energy,2359299
theoretically,2359315
inexhaustible,2359315
sustainable,2359322
energy,2359322
include,2359322
energy,2359322
source,2359322
cannot,2359322
deplete,2359322
remain,2359322
viable,2359322
forever,2359322
sustainable,2359328
energy,2359328
generate,2359328
from,2359328
source,2359328
replenish,2359328
themself,2359328
fast,2359328
than,2359328
they,2359328
deplete,2359328
know,2359328
difference,2359328
between,2359328
fight,2359328
against,2359328
global,2359328
climate,2359328
change,2359328
green,2359328
sustainable,2359328
energy,2359328
source,2359328
alternative,2359328
fossil,2359301
fuel,2359301
coal,2359324
natural,2359307
fight,2359328
against,2359328
global,2359328
climate,2359328
change,2359328
they,2359328
help,2359328
curtail,2359328
emission,2359328
heat,2359342
cool,2359342
build,2359342
industrial,2359344
process,2359344
transport,2359306
green,2359348
energy,2359348
capacity,2359348
replace,2359348
