SEQUENCE,ENCODING
content,6291462
regard,6291462
european,6291462
green,6291462
deal,6291462
main,6291462
solution,6291462
technology,6291462
introduction,6291464
project,9
partnership,9
elaborate,9
comprehensive,9
content,9
with,9
module,9
target,9
group,9
student,9
order,9
study,9
main,9
solution,9
omain,9
interest,9
from,9
follow,9
module,9
develop,9
climate,9
change,9
green,9
energy,9
industrial,9
strategy,9
circular,9
economy,9
green,9
agriculture,9
biodiversity,9
zero,9
pollution,9
focu,12
green,12
energy,12
circular,12
bioeconomy,12
intend,12
shape,12
main,12
direction,12
industrial,12
revolution,12
start,12
progress,12
nowaday,12
dedicate,14
curriculum,14
elearning,14
also,14
propose,16
solution,16
complement,16
with,16
focu,16
seminar,16
carbon,16
footprint,16
calculation,16
environmental,16
kuznet,16
curve,16
these,16
application,16
useful,16
target,16
group,16
person,16
from,16
involve,16
country,16
also,16
from,16
community,16
interest,16
understand,16
quantitative,16
model,16
evaluate,16
environment,16
quality,16
they,16
next,18
phase,18
eform,18
course,18
seminar,18
prepare,18
them,18
base,18
first,18
train,18
session,18
find,18
also,18
many,18
communicationdissemination,18
tool,18
questionnaire,18
survey,18
free,18
discussion,18
letter,18
interest,18
whole,18
learn,18
package,18
improve,18
display,18
final,18
upgrade,18
evariant,18
them,18
agreement,18
with,18
targetgroup,18
point,18
view,18
also,18
with,18
those,18
other,18
member,18
interest,18
community,16
eu,4325381
target,4325381
2021,2228229
eu,2228229
propose,2228229
climate,2228229
neutrality,2228229
goal,2228229
zero,2228229
emission,2228229
2050,2228229
legally,2228229
bind,2228229
eu,2228229
whole,2228229
package,2228229
economic,2228229
policy,2228229
interim,2228229
target,2228229
emission,2228229
reduction,2228229
2030,2228229
goal,2228229
zero,2228229
emission,2228229
enshrine,2228229
climate,2228229
european,2228229
green,2228229
deal,2228229
roadmap,2228229
eu,2228229
become,2228229
climateneutral,2228229
2050,2228229
climate,2228230
neutrality,2228230
versu,2228230
carbon,2228230
neutrality,2228230
climate,2228231
neutrality,2228231
mean,2228231
only,2228231
emit,2228231
much,2228231
greenhouse,2228231
into,2228231
atmosphere,2228231
absorb,2228231
nature,2228231
forest,2228231
ocean,2228231
soil,2228231
reach,131079
such,131079
netzero,2228231
emission,2228231
balance,2228231
2050,131079
eu,131079
country,131079
will,131079
have,131079
drastically,131079
reduce,131079
their,131079
greenhouse,131079
emission,131079
find,131079
compensate,131079
remain,131079
unavoidable,131079
emission,131079
carbon,2228232
neutrality,2228232
climate,2228232
neutrality,2228232
often,131080
interchangeably,131080
they,131080
same,131080
thing,131080
company,131080
consider,131080
carbon,131080
neutral,131080
simple,131082
equation,131082
zero,131082
bite,131082
more,131082
complicate,131082
first,131082
need,131082
calculate,2228234
carbon,2228234
footprint,2228234
will,131082
explain,131082
dedicate,131082
seminar,131082
once,131083
know,131083
carbon,131083
footprint,131083
should,131083
reduce,131083
much,131083
possible,131083
emission,131083
produce,131083
result,131083
economic,131077
activity,131083
other,131083
hand,131083
compensate,131083
those,131083
able,131083
eliminate,131083
characteristic,131084
will,131084
alway,131084
able,131084
reduce,131084
able,131083
eliminate,131083
compensate,131084
them,131084
other,131084
equation,131084
result,131084
zero,131084
application,131086
zero,131086
waste,131086
biochar,131086
carbonneutral,131086
tool,131086
sustainable,131086
development,131086
compensate,131087
carbon,131087
emission,131087
absorb,131087
choose,131087
between,131087
different,131087
action,131087
such,131087
carbon,131088
capture,131088
storage,131088
invest,131089
synthetic,131089
fuel,131089
research,131089
support,131090
project,131090
restore,131090
preserve,131090
carbon,131090
sink,131090
such,131090
invest,131090
forest,131090
restoration,131090
wetland,131090
coastline,131090
purchase,131091
carbon,131091
credit,131091
climate,2228229
neutrality,2228229
refer,131092
mitigation,131092
greenhouse,2228244
gase,2228244
just,2228244
carbon,2228244
dioxide,2228244
other,131080
word,131080
company,131080
will,131093
achieve,131093
climate,131093
neutrality,131093
amount,131093
greenhouse,131093
emission,131093
emit,131093
into,131093
atmosphere,131093
same,131093
amount,131093
greenhouse,131093
gase,131093
naturally,131093
absorb,131093
natural,131093
sink,131093
forest,131093
offset,131093
other,131093
action,131093
case,131094
equation,131094
would,131094
follow,131094
some,131101
halocarbon,131101
such,131101
hcfc,131101
many,131102
case,131102
carbon,131102
neutral,131102
will,131102
limit,131102
contribution,131102
climate,131102
change,131102
however,131102
action,131102
should,131102
only,131102
focu,131102
mitigate,131102
some,131103
sector,131103
example,131103
they,131103
need,131103
carbon,131103
neutral,131103
limit,131103
their,131103
contribution,131103
global,131103
warm,131103
they,131103
release,131103
major,131103
amount,131103
list,131103
above,131103
wellknown,131103
example,131103
livestock,131103
sector,131103
contribution,131103
global,131103
warm,131103
through,131103
methane,131103
emission,131103
produce,131103
animal,131103
eu,2228256
politic,2228256
climate,2228256
neutrality,2228256
european,131105
council,131105
underline,131105
transition,131105
climate,131105
neutrality,131105
bring,131105
significant,131105
opportunity,131105
economic,131106
growth,131106
market,131107
technological,131108
development,131108
late,131109
option,131109
there,131109
market,2228261
regulate,2228261
european,2228261
union,2228261
like,131109
kind,131109
stock,131109
exchange,131109
price,2228261
carbon,2228261
sell,131109
need,131082
legal,131109
carbon,131109
neutrality,131109
target,131109
also,131102
recognize,131110
need,131110
ensure,131110
green,131110
transition,131110
costeffective,131110
well,131110
socially,2228262
balance,2228262
fair,2228262
leader,131110
call,131110
european,131110
commission,131110
forward,131110
proposal,131110
country,131110
reach,131110
2030,131110
goal,131110
include,131110
improve,131111
green,131111
finance,131111
standard,131111
strengthen,131112
eu,131112
emission,131112
trade,131112
system,131112
spur,131113
climatefriendly,131113
innovation,131113
ensure,131114
fairnes,131114
costeffectivenes,131114
july,131115
2021,131115
european,2228267
climate,2228267
climate,131117
framework,131117
action,131117
take,131117
eu,131117
member,131117
state,131117
progressively,131117
reduce,131117
emission,131117
ultimately,131117
reach,131117
climate,131117
neutrality,131117
eu,131117
2050,131117
also,131118
june,131118
2021,131118
council,131118
approve,131118
conclusion,131118
endorse,131118
eu,2228270
strategy,2228270
adaptation,2228270
climate,2228270
change,2228270
present,131118
european,131118
commission,131118
strategy,131118
outline,131118
longterm,131118
vision,131118
eu,131118
become,131118
2050,131118
climateresilient,2228270
society,2228270
fully,131118
adapt,131118
unavoidable,131118
impact,131118
climate,131118
change,131118
another,131119
part,131119
eu,131119
work,131119
toward,131119
climate,131119
neutrality,131119
package,2228271
proposal,131119
revision,131119
exist,131119
legislation,131119
initiative,131119
eu,131119
plan,131119
turn,131119
climate,131119
goal,131119
accordance,131119
eu,131119
package,2228271
action,131080
package,131124
include,131124
rule,131124
energy,131084
transport,131126
emission,131127
trade,131127
reduction,131127
land,131128
forestry,131128
emission,131130
rise,131130
some,131130
sector,131130
such,131130
international,131130
aviation,131130
transport,131130
other,131130
sector,131130
have,131130
reduce,131130
their,131130
emission,131130
enormously,131130
1990,131130
with,131130
energy,131130
industry,131130
lead,131130
with,131130
decrease,131130
2020,131130
eu,131130
have,131130
already,131130
achieve,131130
reduction,131130
compare,131130
1990,131130
level,131130
finance,2228283
eu,2228283
climate,2228283
transition,2228283
shift,131132
toward,131132
climatefriendly,131132
economy,131132
will,131132
require,131132
major,131132
public,2228284
private,2228284
investment,2228284
eu,131133
country,131133
have,131133
commit,131133
spend,131133
eu,131133
longterm,131133
budget,131133
20212027,131133
next,131133
generation,131133
eu,131133
recovery,131133
instrument,131133
climaterelated,131133
project,131133
ensure,131134
climate,131134
transition,131134
fair,131134
eu,131134
introduce,131134
just,2228286
transition,2228286
mechanism,2228286
provide,131134
financial,131134
technical,131134
support,131134
mobilize,131134
eu,131135
expenditure,131135
2027,131135
will,131135
climaterelated,131135
project,131135
shape,2228289
global,2228289
action,2228289
eu,131138
effort,131138
fight,131138
climate,131138
change,131138
line,131138
with,131138
commitment,131138
make,131138
eu,131138
member,131138
state,131138
pari,2228290
agreement,2228290
bilateral,131138
relation,131138
accelerate,131138
action,131138
limit,131138
global,131138
warm,131138
eu,131139
together,131139
with,131139
member,131139
state,131139
provider,2228291
climate,2228291
finance,2228291
world,131139
fund,131139
provide,131139
support,131139
climaterelated,131139
action,131139
develop,131139
country,131139
facilitate,131139
their,131139
green,131139
transition,131139
tackle,131139
adverse,131139
effect,131139
climate,131139
change,131139
2030,131141
climate,131141
energy,131141
framework,131141
include,131110
euwide,131141
target,131141
policy,131141
objective,131141
period,131141
from,131141
2021,131141
2030,131141
percent,131142
improve,131142
energy,131142
efficiency,131142
percent,131142
along,131142
same,131142
line,131142
2030,131142
framework,131142
include,131142
least,131142
percent,131142
target,131142
renewable,131142
energy,131142
target,131142
enhance,131142
energy,131142
efficiency,131142
least,131142
percent,131142
greenhouse,2228295
emission,2228295
raise,2228295
ambition,2228295
july,131144
2021,131144
european,131144
commission,131144
adopt,131144
proposal,131144
make,131144
eu,131144
climate,131144
energy,131144
transport,131144
taxation,131144
policy,131144
reduce,131144
greenhouse,131144
emission,131144
least,131144
2030,131144
compare,131144
1990,131144
level,131144
will,131145
enable,131145
eu,131145
become,131145
first,131145
climateneutral,131145
continent,131145
2050,131077
proposal,131146
refer,131146
energy,2228294
efficiency,2228294
reduce,131148
energy,131148
consumption,131148
achieve,131148
energy,131148
save,131148
essential,131148
deliver,131148
european,131148
green,131148
deal,131148
renewable,2228294
energy,2228294
energy,131150
from,131150
renewable,131150
source,131150
reduce,131150
greenhouse,131150
emission,131150
dependence,131150
import,131150
fossil,131150
fuel,131150
market,2228303
consumer,2228303
eu,131152
integrate,131152
internal,131152
energy,131152
market,131152
help,131152
keep,131152
energy,131152
affordable,131152
guarantee,131152
secure,131152
supply,131152
energy,2228305
strategy,2228305
eu,131154
strategy,131154
secure,131154
competitive,131154
sustainable,131154
energy,131154
coal,2228307
ensure,131156
efficient,131156
responsible,131156
fossil,131156
fuel,131156
infrastructure,2228309
energy,2228311
security,2228311
eu,131160
work,131160
ensure,131160
energy,131160
supply,131160
from,131160
abroad,131160
secure,131160
affordable,131160
research,2228313
technology,2228313
fund,2228315
finance,2228315
program,131164
call,131164
tender,131164
privatepublic,131164
initiative,131164
finance,131164
energy,131164
project,131164
international,2228317
cooperation,2228317
eu,131166
energy,131166
cooperation,131166
with,131166
country,131166
around,131166
world,131166
international,131166
institution,131166
nuclear,2228319
energy,2228319
eu,131168
ensure,131168
safe,131168
secure,131168
civil,131168
nuclear,131168
energy,131168
generate,131168
almost,131168
electricity,131168
energy,2228321
system,2228321
integration,2228321
energy,131170
system,131170
need,131170
sufficiently,131170
flexible,131170
facilitate,131170
crossborder,131170
crosssector,131170
innovation,131170
investment,131170
main,2228323
egal,2228261
nstrument,2228323
2030,2228323
ramework,2228269
plan,2228271
governance,131174
regulation,131174
require,131174
member,131174
state,131174
prepare,131174
plan,131174
national,131174
energy,131174
climate,131174
plan,131174
necp,131174
longterm,131174
strategy,131174
commission,131174
must,131174
prepare,131174
eu,131174
whole,131174
necp,131175
core,131175
element,131175
2030,131175
framework,131175
necp,131175
each,131175
member,131175
state,131175
define,131175
national,131175
contribution,131175
five,131175
energy,131175
union,131175
objective,131175
include,131175
eulevel,131175
renewable,131175
energy,131175
energy,131175
efficiency,131175
target,131175
ember,131175
state,131175
also,131175
require,131175
specify,131175
their,131175
plan,131175
reach,131175
these,131175
target,131175
along,131175
with,131175
their,131175
national,131175
greenhouse,131175
emission,131175
reduction,131175
target,131175
sector,131175
outside,131175
necp,131175
prepare,131175
every,131175
year,131175
update,131175
fiveyear,131175
interval,131175
report,2228324
start,131178
from,131178
2023,131178
every,131178
year,131178
thereafter,131178
member,131178
state,131178
must,131178
prepare,131178
integrate,131178
national,131178
energy,131178
climate,131178
progress,131178
report,131178
biennial,131178
progress,131178
report,131178
these,131178
cover,131178
five,131178
dimension,131178
energy,131178
union,131178
describe,131178
progress,131178
necp,131178
implementation,131178
addition,131178
each,131178
member,131178
state,131178
must,131178
submit,131178
annual,131178
greenhouse,131178
inventory,131178
report,131178
commission,131178
unfccc,131178
unite,4325482
nation,4325482
framework,4325482
convention,4325482
climate,4325482
change,4325482
secretariat,131178
governance,131178
regulation,131178
include,131178
variou,131178
provision,131178
national,131178
unionlevel,131178
datum,131178
collection,131178
report,131178
system,131178
well,131178
registry,131178
account,131178
nationally,131178
determine,131178
contribution,131178
international,131178
carbon,131178
credit,131178
monitor,2228324
governance,131180
regulation,131180
create,131180
monitor,131180
system,131180
track,131180
implementation,131180
2030,131180
framework,131180
associate,131180
target,131180
eu,131180
member,131180
state,131180
level,131180
system,131180
rely,131180
ante,4325484
post,4325484
monitor,131180
commission,131180
public,2228333
participation,2228333
governance,131182
regulation,131182
require,131182
member,131182
state,131182
establish,131182
multilevel,131182
climate,131182
energy,131182
dialogue,131182
involve,131182
variou,131182
stakeholder,131182
general,131182
public,131182
discus,131182
different,131182
scenario,131182
climate,131182
energy,131182
policy,131182
necp,131182
also,131182
consider,131182
during,131182
dialogue,131182
climate,2228335
component,2228335
2030,2228335
framework,2228335
whole,131184
precise,131184
limit,131184
greenhouse,131184
emission,131184
create,131184
price,131184
them,131184
cover,131184
sector,131184
namely,131184
power,131184
generation,131184
iron,131184
steel,131184
chemical,131184
refinery,131184
cement,131184
other,131184
build,131184
material,131184
well,131184
pulp,131184
paper,131184
addition,131184
apply,131184
aviation,131184
emission,131184
participate,131184
country,131184
energy,2228337
component,2228337
2030,2228337
framework,2228337
focu,131186
switch,131186
overall,131186
eu,131186
renewable,131186
energy,131186
target,131186
national,131186
support,131186
scheme,131186
selfconsumer,131186
renewable,131186
energy,131186
community,131186
renewable,131186
heat,131186
cool,131186
well,131186
transport,131186
include,131186
biofuel,131186
comprise,131186
bioliquid,131186
bioga,131186
biomas,131186
fuel,131186
authorize,131187
member,131187
state,131187
apply,131187
renewable,131187
energy,131187
support,131187
scheme,131187
require,131187
direct,131187
price,131187
support,131187
scheme,131187
take,131187
form,131187
market,131187
premium,131187
include,131188
provision,131188
promote,131188
renewable,131188
energy,131188
sector,131188
other,131188
than,131188
electricity,131188
namely,131188
transport,131188
well,131188
heat,131188
cool,131188
neutrality,2228229
other,131191
currently,131191
international,131191
community,131191
confront,131191
with,131191
develop,131191
costeffective,131191
sustainable,131191
method,131191
minimize,131191
emission,131191
promote,131191
sequestration,131191
global,131191
community,131191
move,131191
toward,131191
neutrality,131191
there,131191
need,131191
revise,131191
understand,131191
current,131191
state,131191
flow,131191
total,131191
environment,131191
therefore,131191
become,131191
imperative,131191
switch,131191
from,131191
nonrenewable,131191
renewable,131191
sustain,131191
current,131191
production,131191
system,131191
addres,131191
climate,131191
change,131191
issue,131191
protect,131191
human,131191
health,131191
environment,131191
achieve,131192
neutrality,131192
sustainably,131192
support,131192
human,131192
activity,131192
utmost,131192
importance,131192
reduce,131192
fossil,131192
fuel,131192
food,131192
emission,131192
promote,131192
sequestration,131192
terrestrial,131192
marine,131192
ecosystem,131192
technology,2228346
renewable,2228346
energy,2228346
production,2228346
solar,131195
energy,131195
their,131196
power,131196
conversion,131196
efficiency,131196
have,131196
reach,131196
more,131196
than,131196
necessary,131196
improve,131196
efficiency,131196
stability,131196
largearea,131196
solar,131196
cell,131196
reduce,131196
product,131196
manufacture,131196
decarbonization,131196
cost,131196
beside,131197
photovoltaic,131197
solar,131197
thermal,131197
technology,131197
some,131197
strategy,131197
convert,131197
solar,131197
radiation,131197
into,131197
stable,131197
chemical,131197
fuel,131197
also,131197
provide,131197
feasible,131197
largescale,131197
utilization,131197
storage,131197
solar,131197
energy,131197
toward,131197
energy,131197
decarbonization,131197
instance,131197
great,131197
effort,131197
have,131197
make,131197
solar,131197
hydrogen,131197
production,131197
demonstrate,131197
extremely,131197
attractive,131197
route,131197
produce,131197
hydrogen,131197
fuel,131197
adopt,131197
renewable,131197
solar,131197
energy,131197
solarderived,131197
power,131197
electrolyze,131197
water,131197
innovation,131200
100180,131200
november,131200
2021,131200
wind,131202
energy,131202
wind,131203
resource,131203
earth,131203
abundant,131203
uneven,131203
distribution,131203
wind,131203
resource,131203
acros,131203
landscape,131203
pose,131203
challenge,131203
transport,131203
electrical,131203
energy,131203
produce,131203
wind,131203
turbine,131203
unpredictable,131203
nature,131203
wind,131203
term,131203
speed,131203
direction,131203
will,131203
result,131203
variable,131203
unstable,131203
phase,131203
amplitude,131203
frequency,131203
generation,131203
electricity,131203
make,131203
difficult,131203
integrate,131203
into,131203
grid,131203
ocean,131204
energy,131204
ocean,131205
energy,131205
reserve,131205
enormou,131205
globally,131205
enough,131205
power,131205
entire,131205
world,131205
technology,131205
harvest,131205
tidal,131205
wave,131205
energy,131205
verge,131205
commercialization,131205
technology,131205
harvest,131205
ocean,131205
current,131205
energy,131205
thermal,131205
energy,131205
osmotic,131205
energy,131205
still,131205
their,131205
early,131205
development,131205
stage,131205
bioenergy,131206
variou,131207
process,131207
convert,131207
biomas,131207
into,131207
energy,131207
include,131207
follow,131207
thermochemical,4325511
conversion,4325511
biomas,131207
include,131207
gasification,131207
pyrolysi,131207
combustion,131207
chemical,4325511
conversion,4325511
convert,131207
vegetable,131207
animal,131207
into,131207
fatty,131207
acid,131207
ester,131207
through,131207
esterification,131207
orand,131207
transesterification,131207
produce,131207
biodiesel,131207
biochemical,4325511
conversion,4325511
convert,131207
biomas,131207
into,131207
liquid,131207
fuel,131207
alcohol,131207
alkane,131207
natural,131207
hydrogen,131207
methane,131207
different,131207
type,131207
bioproduct,131207
most,131208
common,131208
biomas,131208
feedstock,131208
biological,131208
conversion,131208
lignocellulosic,131208
biomas,131208
such,131208
agricultural,131208
forestry,131208
residue,131208
lignocellulosic,131208
biomas,131208
most,131208
abundant,131208
widely,131208
available,131208
renewable,131208
resource,131208
world,131208
mainly,131208
compose,131208
three,131208
heterogeneou,131208
biopolymer,131208
energy,131084
hydrogen,131210
fuel,131210
cell,131210
technology,131210
have,131210
develop,131210
rapidly,131210
ready,131210
commercialization,131210
point,131210
commercial,131210
sale,131210
hydrogenpowered,131210
passenger,131210
heavyduty,131210
vehicle,131210
train,131210
ship,131210
main,131210
issue,131210
reduce,131210
cost,131210
maintain,131210
acceptable,131210
level,131210
durability,131210
efficiency,131210
nuclear,131167
energy,131167
geothermal,131213
energy,131213
geothermal,131214
energy,131214
noncarbonbased,131214
heat,131214
energy,131214
contain,131214
interior,131214
earth,131214
with,131214
advantage,131214
stability,131214
continuity,131214
capacity,131214
will,131214
play,131214
important,131214
role,131214
provide,131214
stable,131214
continuou,131214
basic,131214
load,131214
future,131214
energy,131214
structure,131214
energy,131215
storage,131215
electricity,131216
produce,131216
from,131216
most,131216
renewable,131216
random,131216
intermittent,131216
hind,131216
widespread,131216
application,131216
renewable,131216
therefore,131216
develop,131216
energy,131216
storage,131216
technology,131216
pivotal,131216
improve,131216
electricity,131216
output,131216
reliability,131216
stability,131216
from,131216
renewable,131216
different,131217
energy,131217
storage,131217
technology,131217
have,131217
different,131217
reliability,131217
cost,131217
efficiency,131217
scale,131217
