SECVENTA,IMPORTANTA,MODUL,PARAGRAF
content,3,0,6
regard,3,0,6
european,3,0,6
green,3,0,6
deal,3,0,6
main,3,0,6
solution,3,0,6
technology,3,0,6
introduction,3,0,8
project,0,0,9
partnership,0,0,9
elaborate,0,0,9
comprehensive,0,0,9
content,0,0,9
with,0,0,9
module,0,0,9
project,0,0,3
target,0,0,9
group,0,0,9
student,0,0,9
order,0,0,9
study,0,0,9
main,0,0,9
solution,0,0,9
omain,0,0,9
interest,0,0,9
from,0,0,9
visionary,0,0,9
package,0,0,9
european,0,0,9
green,0,0,9
deal,0,0,9
policy,0,0,9
initiative,0,0,9
follow,0,0,9
module,0,0,9
develop,0,0,9
climate,0,0,9
change,0,0,9
green,0,0,9
energy,0,0,9
industrial,0,0,9
strategy,0,0,9
circular,0,0,9
economy,0,0,9
green,0,0,9
agriculture,0,0,9
biodiversity,0,0,9
zero,0,0,9
pollution,0,0,9
focu,0,0,12
green,0,0,12
energy,0,0,12
circular,0,0,12
bioeconomy,0,0,12
intend,0,0,12
shape,0,0,12
main,0,0,12
direction,0,0,12
industrial,0,0,12
revolution,0,0,12
start,0,0,12
progress,0,0,12
nowaday,0,0,12
dedicate,0,0,14
curriculum,0,0,14
elearning,0,0,14
also,0,0,14
propose,0,0,16
solution,0,0,16
complement,0,0,16
with,0,0,16
focu,0,0,16
seminar,0,0,16
carbon,0,0,16
footprint,0,0,16
calculation,0,0,16
environmental,0,0,16
kuznet,0,0,16
curve,0,0,16
these,0,0,16
application,0,0,16
useful,0,0,16
target,0,0,16
group,0,0,16
person,0,0,16
from,0,0,16
involve,0,0,16
country,0,0,16
also,0,0,16
from,0,0,16
community,0,0,16
interest,0,0,16
understand,0,0,16
quantitative,0,0,16
model,0,0,16
evaluate,0,0,16
environment,0,0,16
quality,0,0,16
they,0,0,16
learn,0,0,16
apply,0,0,16
interpret,0,0,16
main,0,0,16
model,0,0,16
connection,0,0,16
with,0,0,16
environment,0,0,16
characteristic,0,0,16
evaluation,0,0,16
next,0,0,18
phase,0,0,18
eform,0,0,18
course,0,0,18
seminar,0,0,18
prepare,0,0,18
them,0,0,18
attach,0,0,18
project,0,0,18
site,0,0,18
elearning,0,0,18
platform,0,0,18
base,0,0,18
first,0,0,18
train,0,0,18
session,0,0,18
find,0,0,18
also,0,0,18
many,0,0,18
communicationdissemination,0,0,18
tool,0,0,18
questionnaire,0,0,18
survey,0,0,18
free,0,0,18
discussion,0,0,18
letter,0,0,18
interest,0,0,18
whole,0,0,18
learn,0,0,18
package,0,0,18
improve,0,0,18
display,0,0,18
final,0,0,18
upgrade,0,0,18
evariant,0,0,18
them,0,0,18
agreement,0,0,18
with,0,0,18
targetgroup,0,0,18
point,0,0,18
view,0,0,18
also,0,0,18
with,0,0,18
those,0,0,18
other,0,0,18
member,0,0,18
interest,0,0,18
community,0,0,16
eu,0,1,5
target,0,1,5
2021,0,1,5
eu,0,1,5
propose,0,1,5
climate,0,1,5
neutrality,0,1,5
goal,0,1,5
zero,0,1,5
emission,0,1,5
2050,0,1,5
legally,0,1,5
bind,0,1,5
climate,0,1,6
neutrality,0,1,6
versu,0,1,6
carbon,0,1,6
neutrality,0,1,6
climate,0,1,7
neutrality,0,1,7
mean,0,1,7
only,0,1,7
emit,0,1,7
much,0,1,7
greenhouse,0,1,7
into,0,1,7
atmosphere,0,1,7
absorb,0,1,7
nature,0,1,7
reach,0,1,7
such,0,1,7
netzero,0,1,7
emission,0,1,7
balance,0,1,7
2050,0,1,7
eu,0,1,7
country,0,1,7
will,0,1,7
have,0,1,7
drastically,0,1,7
reduce,0,1,7
their,0,1,7
greenhouse,0,1,7
emission,0,1,7
find,0,1,7
compensate,0,1,7
remain,0,1,7
unavoidable,0,1,7
emission,0,1,7
carbon,0,1,8
neutrality,0,1,8
climate,0,1,8
neutrality,0,1,8
often,0,1,8
interchangeably,0,1,8
they,0,1,8
same,0,1,8
thing,0,1,8
company,0,1,8
consider,0,1,8
carbon,0,1,8
neutral,0,1,8
simple,0,1,10
equation,0,1,10
zero,0,1,10
bite,0,1,10
more,0,1,10
complicate,0,1,10
first,0,1,10
need,0,1,10
calculate,0,1,10
carbon,0,1,10
footprint,0,1,10
will,0,1,10
explain,0,1,10
dedicate,0,1,10
seminar,0,1,10
once,0,1,11
know,0,1,11
carbon,0,1,11
footprint,0,1,11
should,0,1,11
reduce,0,1,11
much,0,1,11
possible,0,1,11
emission,0,1,11
produce,0,1,11
result,0,1,11
economic,0,1,5
activity,0,1,11
other,0,1,11
hand,0,1,11
compensate,0,1,11
those,0,1,11
able,0,1,11
eliminate,0,1,11
characteristic,0,1,12
will,0,1,12
alway,0,1,12
able,0,1,12
reduce,0,1,12
able,0,1,11
eliminate,0,1,11
compensate,0,1,12
them,0,1,12
other,0,1,12
equation,0,1,12
result,0,1,12
zero,0,1,12
application,0,1,14
zero,0,1,14
waste,0,1,14
biochar,0,1,14
carbonneutral,0,1,14
tool,0,1,14
sustainable,0,1,14
development,0,1,14
compensate,0,1,15
carbon,0,1,15
emission,0,1,15
absorb,0,1,15
choose,0,1,15
between,0,1,15
different,0,1,15
action,0,1,15
such,0,1,15
carbon,0,1,16
capture,0,1,16
storage,0,1,16
invest,0,1,17
synthetic,0,1,17
fuel,0,1,17
research,0,1,17
support,0,1,18
project,0,1,18
restore,0,1,18
preserve,0,1,18
carbon,0,1,18
sink,0,1,18
such,0,1,18
invest,0,1,18
forest,0,1,18
restoration,0,1,18
wetland,0,1,18
coastline,0,1,18
purchase,0,1,19
carbon,0,1,19
credit,0,1,19
climate,0,1,5
neutrality,0,1,5
refer,0,1,20
mitigation,0,1,20
greenhouse,0,1,20
gase,0,1,20
just,0,1,20
carbon,0,1,20
dioxide,0,1,20
other,0,1,8
word,0,1,8
company,0,1,8
will,0,1,21
achieve,0,1,21
climate,0,1,21
neutrality,0,1,21
amount,0,1,21
greenhouse,0,1,21
emission,0,1,21
emit,0,1,21
into,0,1,21
atmosphere,0,1,21
same,0,1,21
amount,0,1,21
greenhouse,0,1,21
gase,0,1,21
naturally,0,1,21
absorb,0,1,21
natural,0,1,21
sink,0,1,21
forest,0,1,21
offset,0,1,21
other,0,1,21
action,0,1,21
case,0,1,22
equation,0,1,22
would,0,1,22
follow,0,1,22
some,0,1,29
halocarbon,0,1,29
such,0,1,29
hcfc,0,1,29
many,0,1,30
case,0,1,30
carbon,0,1,30
neutral,0,1,30
will,0,1,30
limit,0,1,30
contribution,0,1,30
climate,0,1,30
change,0,1,30
however,0,1,30
action,0,1,30
should,0,1,30
only,0,1,30
focu,0,1,30
mitigate,0,1,30
some,0,1,31
sector,0,1,31
example,0,1,31
they,0,1,31
need,0,1,31
carbon,0,1,31
neutral,0,1,31
limit,0,1,31
their,0,1,31
contribution,0,1,31
global,0,1,31
warm,0,1,31
they,0,1,31
release,0,1,31
major,0,1,31
amount,0,1,31
list,0,1,31
above,0,1,31
wellknown,0,1,31
example,0,1,31
livestock,0,1,31
sector,0,1,31
contribution,0,1,31
global,0,1,31
warm,0,1,31
through,0,1,31
methane,0,1,31
emission,0,1,31
produce,0,1,31
animal,0,1,31
eu,0,1,32
politic,0,1,32
climate,0,1,32
neutrality,0,1,32
european,0,1,33
council,0,1,33
underline,0,1,33
transition,0,1,33
climate,0,1,33
neutrality,0,1,33
bring,0,1,33
significant,0,1,33
opportunity,0,1,33
economic,0,1,34
growth,0,1,34
market,0,1,35
technological,0,1,36
development,0,1,36
late,0,1,37
option,0,1,37
there,0,1,37
market,0,1,37
regulate,0,1,37
european,0,1,37
union,0,1,37
like,0,1,37
kind,0,1,37
stock,0,1,37
exchange,0,1,37
price,0,1,37
carbon,0,1,37
sell,0,1,37
need,0,1,10
legal,0,1,37
carbon,0,1,37
neutrality,0,1,37
target,0,1,37
also,0,1,30
recognize,0,1,38
need,0,1,38
ensure,0,1,38
green,0,1,38
transition,0,1,38
costeffective,0,1,38
well,0,1,38
socially,0,1,38
balance,0,1,38
fair,0,1,38
leader,0,1,38
call,0,1,38
european,0,1,38
commission,0,1,38
forward,0,1,38
proposal,0,1,38
country,0,1,38
reach,0,1,38
2030,0,1,38
goal,0,1,38
include,0,1,38
improve,0,1,39
green,0,1,39
finance,0,1,39
standard,0,1,39
strengthen,0,1,40
eu,0,1,40
emission,0,1,40
